Date,Close
1/4/1999,"1,228.10"
1/5/1999,"1,244.78"
1/6/1999,"1,272.34"
1/7/1999,"1,269.73"
1/8/1999,"1,275.09"
1/11/1999,"1,263.88"
1/12/1999,"1,239.51"
1/13/1999,"1,234.40"
1/14/1999,"1,212.19"
1/15/1999,"1,243.26"
1/19/1999,"1,252.00"
1/20/1999,"1,256.62"
1/21/1999,"1,235.16"
1/22/1999,"1,225.19"
1/25/1999,"1,233.98"
1/26/1999,"1,252.31"
1/27/1999,"1,243.17"
1/28/1999,"1,265.37"
1/29/1999,"1,279.64"
2/1/1999,"1,273.00"
2/2/1999,"1,261.99"
2/3/1999,"1,272.07"
2/4/1999,"1,248.49"
2/5/1999,"1,239.40"
2/8/1999,"1,243.77"
2/9/1999,"1,216.14"
2/10/1999,"1,223.55"
2/11/1999,"1,254.04"
2/12/1999,"1,230.13"
2/16/1999,"1,241.87"
2/17/1999,"1,224.03"
2/18/1999,"1,237.28"
2/19/1999,"1,239.22"
2/22/1999,"1,272.14"
2/23/1999,"1,271.18"
2/24/1999,"1,253.41"
2/25/1999,"1,245.02"
2/26/1999,"1,238.33"
3/1/1999,"1,236.16"
3/2/1999,"1,225.50"
3/3/1999,"1,227.70"
3/4/1999,"1,246.64"
3/5/1999,"1,275.47"
3/8/1999,"1,282.73"
3/9/1999,"1,279.84"
3/10/1999,"1,286.84"
3/11/1999,"1,297.68"
3/12/1999,"1,294.59"
3/15/1999,"1,307.26"
3/16/1999,"1,306.38"
3/17/1999,"1,297.82"
3/18/1999,"1,316.55"
3/19/1999,"1,299.29"
3/22/1999,"1,297.01"
3/23/1999,"1,262.14"
3/24/1999,"1,268.59"
3/25/1999,"1,289.99"
3/26/1999,"1,282.80"
3/29/1999,"1,310.17"
3/30/1999,"1,300.75"
3/31/1999,"1,286.37"
4/1/1999,"1,293.72"
4/5/1999,"1,321.12"
4/6/1999,"1,317.89"
4/7/1999,"1,326.89"
4/8/1999,"1,343.98"
4/9/1999,"1,348.35"
4/12/1999,"1,358.64"
4/13/1999,"1,349.82"
4/14/1999,"1,328.44"
4/15/1999,"1,322.86"
4/16/1999,"1,319.00"
4/19/1999,"1,289.48"
4/20/1999,"1,306.17"
4/21/1999,"1,336.12"
4/22/1999,"1,358.82"
4/23/1999,"1,356.85"
4/26/1999,"1,360.04"
4/27/1999,"1,362.80"
4/28/1999,"1,350.91"
4/29/1999,"1,342.83"
4/30/1999,"1,335.18"
5/3/1999,"1,354.63"
5/4/1999,"1,332.00"
5/5/1999,"1,347.31"
5/6/1999,"1,332.05"
5/7/1999,"1,345.00"
5/10/1999,"1,340.30"
5/11/1999,"1,355.61"
5/12/1999,"1,364.00"
5/13/1999,"1,367.56"
5/14/1999,"1,337.80"
5/17/1999,"1,339.49"
5/18/1999,"1,333.32"
5/19/1999,"1,344.23"
5/20/1999,"1,338.83"
5/21/1999,"1,330.29"
5/24/1999,"1,306.65"
5/25/1999,"1,284.40"
5/26/1999,"1,304.76"
5/27/1999,"1,281.41"
5/28/1999,"1,301.84"
6/1/1999,"1,294.26"
6/2/1999,"1,294.81"
6/3/1999,"1,299.54"
6/4/1999,"1,327.75"
6/7/1999,"1,334.52"
6/8/1999,"1,317.33"
6/9/1999,"1,318.64"
6/10/1999,"1,302.82"
6/11/1999,"1,293.64"
6/14/1999,"1,294.00"
6/15/1999,"1,301.16"
6/16/1999,"1,330.41"
6/17/1999,"1,339.90"
6/18/1999,"1,342.84"
6/21/1999,"1,349.00"
6/22/1999,"1,335.88"
6/23/1999,"1,333.06"
6/24/1999,"1,315.78"
6/25/1999,"1,315.31"
6/28/1999,"1,331.35"
6/29/1999,"1,351.45"
6/30/1999,"1,372.71"
7/1/1999,"1,380.96"
7/2/1999,"1,391.22"
7/6/1999,"1,388.12"
7/7/1999,"1,395.86"
7/8/1999,"1,394.42"
7/9/1999,"1,403.28"
7/12/1999,"1,399.10"
7/13/1999,"1,393.56"
7/14/1999,"1,398.17"
7/15/1999,"1,409.62"
7/16/1999,"1,418.78"
7/19/1999,"1,407.65"
7/20/1999,"1,377.10"
7/21/1999,"1,379.29"
7/22/1999,"1,360.97"
7/23/1999,"1,356.94"
7/26/1999,"1,347.76"
7/27/1999,"1,362.84"
7/28/1999,"1,365.40"
7/29/1999,"1,341.03"
7/30/1999,"1,328.72"
8/2/1999,"1,328.05"
8/3/1999,"1,322.18"
8/4/1999,"1,305.33"
8/5/1999,"1,313.71"
8/6/1999,"1,300.29"
8/9/1999,"1,297.80"
8/10/1999,"1,281.39"
8/11/1999,"1,301.89"
8/12/1999,"1,298.14"
8/13/1999,"1,327.64"
8/16/1999,"1,330.75"
8/17/1999,"1,344.15"
